company,sector,subsector,round,amount_m,valuation_m,lead_investors,other_investors,date,location,quarter,year,robotnik_notes,source
Fourier Intelligence,Robotics,Humanoid & Service Robots,Series E,109,1100,"Guoxin Investment, Pudong Venture Capital","Zhangjiang Hi-Tech, Zhangke Yaokun Fund, Prosperity7 Ventures (Saudi Aramco), Junshan Capital",2025-01-07,China (Shanghai),1Q25,2025,GR-2 humanoid; ninth funding round; prior backer SoftBank Vision Fund II,https://www.dealstreetasia.com/stories/chinese-robotics-firm-fourier-books-nearly-109m-425571
Harbinger,Robotics,Autonomous Systems & Drones,Series B,100,,"Capricorn Technology Impact Fund, Leitmotif","Tiger Global, ArcTern Ventures, THOR Industries, Coca-Cola System Sustainability Fund, Ridgeline, Maniv Mobility, Ironspring, Schematic",2025-01-14,"USA (Garden Grove, CA)",1Q25,2025,"Medium-duty EV chassis; 4,690-vehicle order book ~$500M; ex-Canoo/QuantumScape founders",https://techcrunch.com/2025/01/14/ev-startup-harbingers-obsession-with-simplicity-fuels-100m-series-b/
NEURA Robotics,Robotics,Humanoid & Service Robots,Series B,123,,Lingotto Investment Management,"BlueCrest Capital, Volvo Cars Tech Fund, InterAlpen Partners, Vsquared Ventures, HV Capital, Delta Electronics, C4 Ventures, L-Bank",2025-01-15,Germany (Metzingen),1Q25,2025,Europe's largest humanoid funding round at time; 4NE1 third-gen humanoid; 10x revenue growth YoY. Note: also has Mar-26 Undisclosed $1.2B entry.,https://neura-robotics.com/neura-robotics-secures-euro-120-million-series-b/
Stoke Space,Space,Launch,Series C,260,,"Breakthrough Energy Ventures, Glade Brook Capital","Point72 Ventures, Woven Capital, 776, Industrious Ventures, Leitmotif, Y Combinator",2025-01-15,"USA (Kent, WA)",1Q25,2025,Total funding $480M; fully reusable Nova rocket. Note: also has Oct-25 Series D and Feb-26 extension entries.,https://spacenews.com/stoke-space-raises-260-million/
Loft Orbital,Space,In-Orbit Services,Series C,170,1000,"Tikehau Capital, Axial Partners","Bpifrance, Foundation Capital, Temasek, Uncork Capital, Starburst VC, Supernova, Tribeca VP",2025-01-15,"USA (San Francisco, CA)",1Q25,2025,$500M+ cumulative bookings; leases hosted payload space on satellites; unicorn status,https://techcrunch.com/2025/01/15/loft-orbital-lands-a-fresh-170-million/
Shippeo,Robotics,Warehouse & Logistics,Undisclosed,30,,Woven Capital (Toyota),"Battery Ventures, Partech, NGP Capital, Bpifrance Digital Venture, LFX, Shift4Good, Yamaha Motor Ventures",2025-01-15,France (Paris),1Q25,2025,Real-time multimodal transport visibility; total >$140M; 53% APAC customer growth YoY,https://www.shippeo.com/resources/explore/press-releases/shippeo-raises-30m-strategic-round/
Pacific Fusion,Materials,Structural Materials,Series A,900,,General Catalyst,,2025-01-15,"USA (Fremont, CA)",1Q25,2025,Largest Series A in fusion history; pulsed magnetic approach; milestone-based tranches.,https://techcrunch.com
BOW,Robotics,Software & Simulation,Seed,5,,Northern Gritstone,"Northern Powerhouse Investment Fund II, Praetura Ventures",2025-01-27,UK (Sheffield),1Q25,2025,University of Sheffield spinout; universal SDK enabling cross-platform robot programming,https://www.eu-startups.com/2025/01/worlds-first-universal-robotics-software-platform-bow-raises-e4-7-million/
Helion Energy,Materials,Structural Materials,Series F,425,,"Lightspeed, SoftBank",,2025-01-28,"USA (Everett, WA)",1Q25,2025,Fusion energy; total >$1B at $5.4B valuation; Microsoft PPA for 50MW plant by 2028.,https://helionenergy.com
Castelion,Space,Launch,Series A,100,,Lightspeed Venture Partners,"a16z, Lavrock Ventures, Cantos, First In, BlueYard Capital, Interlagos",2025-01-29,"USA (El Segundo, CA)",1Q25,2025,Ex-SpaceX; developing Blackbeard hypersonic strike weapon for US Army/Navy; $70M equity + $30M debt,https://spacenews.com/castelion-raises-350-million-to-scale-hypersonic-missile-production/
ArkEdge Space,Space,Satellite Comms,Series B,52,,Incubate Fund KK,,2025-02-04,Japan (Tokyo),1Q25,2025,Japanese satellite system integrator scaling micro-satellite constellation production.,https://spacenews.com
QuEra Computing,Semiconductors,Frontier Compute,Undisclosed,230,,"Google, SoftBank Vision Fund 2, Valor Equity Partners","QVT Family Office, Safar Partners",2025-02-11,"USA (Boston, MA)",1Q25,2025,Neutral-atom quantum computers; Harvard/MIT research; $41M Japan computer sale; convertible note,https://techcrunch.com/2025/02/11/google-leads-230m-convertible-note-for-boston-quantum-computing-startup-quera/
Apptronik,Robotics,Humanoid & Service Robots,Series A,350,1500,"B Capital, Capital Factory",Google/DeepMind,2025-02-13,"USA (Austin, TX)",1Q25,2025,"Apollo AI-powered humanoid robot; round later expanded to $403M with Mercedes-Benz, ARK Invest, Japan Post Capital. Note: also has Feb-26 extension entry.",https://techcrunch.com/2025/02/13/apptronik-raises-350m-to-build-humanoid-robots-with-help-from-google/
EnCharge AI,Semiconductors,Fabless Design,Series B,100,,Tiger Global,"Samsung Ventures, In-Q-Tel, RTX Ventures, HH-CTBC (Foxconn/CTBC), Maverick Silicon",2025-02-13,"USA (Santa Clara, CA)",1Q25,2025,Analog in-memory computing AI chips; spun out of Princeton 2022; fabricating with TSMC; total raised $144M+,https://techcrunch.com/2025/02/13/encharge-raises-100m-to-accelerate-ai-using-analog-chips/
K2 Space,Space,Satellite Communications,Series B,110,,"Lightspeed Venture Partners, Altimeter Capital","Alpine Space Ventures, First Round Capital",2025-02-13,"USA (Torrance, CA)",1Q25,2025,High-power multi-orbit satellite buses; 180k sq ft factory. Note: also has Dec-25 Series C entry.,https://spacenews.com/k2-space-raises-110-million-to-scale-up-satellite-production/
Cambridge GaN Devices,Semiconductors,Power & Analog,Series C,32,,Strategic investor (undisclosed),"British Patient Capital, Parkwalk, BGF, Cambridge Innovation Capital, Foresight Group, IQ Capital",2025-02-18,UK (Cambridge),1Q25,2025,"GaN power transistors and ICs; targeting industrial, data center, automotive; Cambridge University spinout",https://camgandevices.com/p/cambridge-gan-devices-secures-32m/
Wooptix,Semiconductors,Equipment,Series C,10.5,,"Samsung Venture Investment Corporation, SETT","Bullnet Capital, EIC Fund, Intel Capital, MONDRAGON Corporation, TEL Venture Capital",2025-02-18,Spain (Canary Islands),1Q25,2025,Semiconductor wafer metrology using wavefront phase imaging derived from adaptive optics for astronomy. Phemet tool offers highest lateral resolution for in-line factory measurements.,https://wooptix.com/wooptix-secures-over-e10-million/
Saronic,Robotics,Autonomous Systems & Drones,Series C,600,4000,Elad Gil,"General Catalyst, a16z, 8VC, Caffeinated Capital, NightDragon, Lightspeed, Point72 Ventures",2025-02-19,"USA (Austin, TX)",1Q25,2025,Autonomous surface vessels for US Navy; building Port Alpha shipyard; valuation 4x from prior round,https://techcrunch.com/2025/02/19/saronic-raises-600m-to-mass-produce-autonomous-warships/
Lambda,Semiconductors,Frontier Compute,Series D,480,2500,"Andra Capital, SGW","NVIDIA, ARK Invest, In-Q-Tel, Andrej Karpathy, Pegatron, Supermicro, Wistron, G Squared",2025-02-19,"USA (San Francisco, CA)",1Q25,2025,"Rents NVIDIA GPU servers for AI training/inference; 25,000+ GPUs; adding Blackwell B200s; total raised $863M",https://www.cnbc.com/2025/02/19/ai-cloud-startup-lambda-raises-480-million.html
SemiQon,Semiconductors,Fabless Design,Series A,20,,European Innovation Council (EIC Accelerator),"Voima Ventures, Lunar Ventures, Dhyan Ventures, Tiny Supercomputer VC, Atomico Angel",2025-02-19,Finland (Espoo),1Q25,2025,Cryo-CMOS chips for quantum computers; EUR 15M equity + EUR 2.5M grants; VTT spin-out,https://arcticstartup.com/semiqon-raises-e17-5m/
