Entity IDs,Organisation,Type,Title,Date,Sector(s),Subsector(s),Summary,Authors,Source name,Relevance,URL,Tags,Robotnik's notes
"['6954 JP', 'ABBN SW', 'SIE GR', 'ROK', 'ISRG', 'SYM', '6861 JP', 'NVDA']",Williams & Marshall Strategy,industry_report,The Global Robotics Market,2025-06,['Robotics'],"['Industrial Robotics', 'Service Robotics', 'Collaborative Robots']","Comprehensive market sizing and forecast report covering the global robotics industry including industrial, service, and collaborative robot segments. Provides regional breakdowns across North America, Europe, and Asia-Pacific with competitive landscape analysis of major OEMs and integrators.",[],Williams & Marshall Strategy,high,https://www.wm-strategy.com/media/WMS_Report_Global_Robotics_Market_June_2025.pdf,"['market sizing', 'robotics forecast', 'industrial robots', 'service robots', 'cobots']","WMS is a niche strategy consultancy producing sector-specific market reports. This report maps total addressable market for robotics OEMs including Fanuc, ABB, and Siemens, with upstream semiconductor demand implications for NVDA and sensor suppliers. Critical for validating Robotnik Universe market cap weightings against independent TAM estimates."
"['NVDA', 'ISRG', '6954 JP', 'ABBN SW', 'SIE GR']",Plug and Play,industry_report,Humanoid Robotics Report,2025,['Robotics'],"['Humanoid Robots', 'Venture Capital', 'AI-Powered Robotics']","Teaser report from Plug and Play's accelerator network mapping the humanoid robotics startup ecosystem. Covers venture funding trends, key technical milestones in bipedal locomotion and manipulation, and the emerging supply chain for humanoid platforms.",[],Plug and Play Tech Center,high,https://welcome.plugandplaytechcenter.com/hubfs/Case%20Studies%2c%20Ebooks%2c%20%2B%20Reports/Ebooks%20%2B%20Reports/Humanoid%20Robotics%20Report%20%7C%20Teaser%20%7C%20Plug%20and%20Play.pdf?hsLang=en,"['humanoid robots', 'venture funding', 'startup ecosystem', 'bipedal locomotion', 'AI robotics']","Plug and Play is one of the largest global startup accelerators with deep deal flow visibility in robotics. Their humanoid report captures the private company layer that public markets (Robotnik Universe) complement. The humanoid value chain depends heavily on NVDA edge compute, custom actuators, and advanced sensor fusion stacks."
"['NVDA', 'TSM', 'ISRG', '6954 JP', 'ABBN SW', 'SIE GR', 'ROK', 'AMD', 'INTC']",Morgan Stanley,industry_report,The Humanoid 100: Mapping the Humanoid Robot Value Chain,2025-02,"['Robotics', 'Semiconductors']","['Humanoid Robots', 'AI Chips', 'Sensors', 'Actuators']","Morgan Stanley's equity research team maps 100 companies across the humanoid robot value chain from semiconductors and sensors through actuators, software, and system integrators. Identifies the key bottlenecks and margin pools across the stack with public equity investment implications.",[],Morgan Stanley,high,https://advisor.morganstanley.com/john.howard/documents/field/j/jo/john-howard/The_Humanoid_100_-_Mapping_the_Humanoid_Robot_Value_Chain.pdf,"['humanoid robots', 'value chain mapping', 'equity research', 'supply chain', 'investment thesis']",This is a foundational sell-side report for the Robotnik thesis -- mapping the full humanoid stack from NVDA/TSM silicon through actuator vendors to OEMs. The value chain taxonomy directly parallels Robotnik's cross-stack category. Critical for identifying which public equities capture margin at each layer of the physical AI stack.
"['6954 JP', 'ABBN SW', 'SIE GR', 'ROK', '6861 JP']",International Federation of Robotics,industry_report,World Robotics 2025,2025,['Robotics'],"['Industrial Robotics', 'Service Robotics', 'Robot Installations']","IFR's flagship annual statistical report presenting global robot installation data, operational stock figures, and regional deployment trends. The press conference presentation summarizes key findings including record installation numbers and growth projections by application and geography.",[],International Federation of Robotics,high,https://ifr.org/downloads/press_docs/PressConference2025_presentation.pdf,"['robot installations', 'IFR statistics', 'global deployment', 'industrial automation', 'market data']","IFR is the definitive source for global robot installation statistics. Their annual data directly feeds Robotnik's demand models -- installation volumes drive revenue for Fanuc, ABB, and Siemens robotics divisions. Upstream semiconductor content per robot is rising with AI integration, creating multiplier effects across NVDA and sensor chip makers."
"['6954 JP', 'ABBN SW', 'SIE GR', 'ROK', '6861 JP']",International Federation of Robotics,industry_report,World Robotics Industrial Report,2025,['Robotics'],"['Industrial Robotics', 'Manufacturing Automation']","Executive summary of the IFR's detailed industrial robotics report covering global shipment data, operational stock by country, and application-specific deployment trends in automotive, electronics, metals, and other verticals.",[],International Federation of Robotics,high,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2025_Industrial_Robots.pdf,"['industrial robots', 'manufacturing', 'automotive automation', 'electronics assembly', 'IFR data']","This executive summary complements the full IFR dataset with application-specific breakdowns critical for Robotnik's sector analysis. Automotive and electronics verticals are the largest robot consumers, and their capex cycles directly impact order books at Fanuc, ABB, and Rockwell. Semiconductor content per industrial robot continues to increase as vision and AI capabilities become standard."
"['NVDA', 'ISRG', 'SYM', 'ROK', '6954 JP', 'ABBN SW']",The Robot Report,industry_report,2026 State of the Robotics Industry Report,2026-01,['Robotics'],"['Industry Outlook', 'Humanoid Robots', 'Warehouse Automation', 'AI Robotics']","Annual outlook from The Robot Report covering 2026 industry trends including the commercialization of humanoid robots, warehouse automation scaling, and the integration of foundation models into robot control systems. Includes survey data from robotics companies and investors.",[],The Robot Report,high,https://www.therobotreport.com/wp-content/uploads/2026/01/TheRobotReport2026_outlook.pdf,"['2026 outlook', 'humanoid commercialization', 'warehouse automation', 'foundation models', 'industry survey']","The Robot Report is a key Robotnik RSS source and their annual outlook captures practitioner sentiment across the robotics stack. The 2026 report likely covers the inflection in humanoid deployment (benefiting NVDA edge AI chips) and warehouse automation scaling (SYM, ROK). Their survey data provides forward-looking demand signals not captured in financial filings."
"['NVDA', 'TSM', 'ASML', 'ISRG', '6954 JP']",Robeco,industry_report,Outlook 2025: Innovation's New Golden Age,2025-01,"['Robotics', 'Semiconductors']","['Innovation Trends', 'AI', 'Automation', 'Investment Strategy']","Robeco's thematic investment outlook covering the convergence of AI, robotics, and automation as drivers of a new innovation cycle. Discusses implications for equity portfolios with emphasis on semiconductor enablers and robotics platforms benefiting from generative AI breakthroughs.",[],Robeco,medium,https://www.robeco.com/files/docm/docu-20250124-Innovations-new-golden-age.pdf,"['innovation cycle', 'AI convergence', 'thematic investing', 'automation', 'portfolio strategy']","Robeco is a major European asset manager with strong thematic investing expertise. Their innovation outlook frames the semiconductor-to-robotics value chain as a multi-decade growth theme, validating Robotnik's cross-stack investment thesis. The report likely highlights NVDA and ASML as key enablers of the physical AI buildout."
"['NVDA', 'ISRG', '6954 JP', 'ABBN SW']",SURF,industry_report,Robotics in 2026,2026-03,['Robotics'],"['Research Robotics', 'AI Integration', 'Education']","Whitepaper from SURF, the Dutch research and education ICT cooperative, examining the state of robotics in 2026 with focus on research applications, AI-driven autonomy, and implications for the European education and R&D ecosystem.",[],SURF,low,https://www.surf.nl/files/2026-03/robotics-whitepaper.pdf,"['research robotics', 'education', 'European R&D', 'AI autonomy', 'whitepaper']","SURF serves Dutch academic and research institutions. While not a market-moving report, it captures the research pipeline feeding future commercial robotics capabilities. European research initiatives often drive early-stage robotics innovation that later scales through industrial OEMs like ABB and Siemens."
"['NVDA', 'ISRG', '6954 JP', 'ABBN SW', 'SIE GR']","AI, Data and Robotics Association",industry_report,AI-Powered Robotics Strategy for Europe,2025-06,['Robotics'],"['AI Robotics', 'European Industrial Policy', 'R&D Strategy']","ADRA's strategic vision document for European AI-powered robotics development, outlining policy recommendations, research priorities, and industrial roadmaps for maintaining European competitiveness in autonomous systems and intelligent manufacturing.",[],"AI, Data and Robotics Association (ADRA)",medium,https://adr-association.eu/sites/default/files/2025-07/ADRA_AiPoweredRobots_Jun2025_FINAL.pdf,"['European strategy', 'AI robotics policy', 'R&D roadmap', 'industrial competitiveness', 'autonomous systems']","ADRA is the European private-side partner for the EU's robotics R&D partnership. Their strategy document signals where European public funding will flow in the AI-robotics intersection, benefiting European OEMs (ABB, Siemens) and creating demand for NVDA compute platforms. Policy directionality helps predict regional adoption curves tracked by Robotnik."
"['NVDA', 'ISRG', '6954 JP', 'ABBN SW', 'SIE GR', 'ROK']",Santander,industry_report,Robotics and Automation,2024,['Robotics'],"['Industrial Automation', 'Investment Themes', 'Wealth Management']","Santander Private Banking's thematic research on robotics and automation as an investment theme, covering market growth drivers, key technology enablers, and portfolio allocation considerations for high-net-worth investors seeking exposure to the automation megatrend.",[],Santander Private Banking,medium,https://www.santanderprivatebanking.com/content/view/4595/file/AutomatizacionRoboticaENG_Cliente_def.pdf,"['investment theme', 'wealth management', 'automation megatrend', 'portfolio allocation', 'thematic research']",Santander PB's thematic lens reflects how large wealth managers are positioning clients in the robotics stack. Their report maps an investable universe overlapping with Robotnik's public equities coverage. The automation megatrend framing validates cross-stack exposure from semiconductors through industrial OEMs to system integrators.
"['NVDA', 'TSM', 'ISRG']",Google DeepMind,industry_report,Gemini Robotics 1.5 Tech Report,2025,"['Robotics', 'Semiconductors']","['Foundation Models', 'Robot Learning', 'AI Architecture']","Technical report from Google DeepMind detailing the Gemini Robotics 1.5 model architecture designed for embodied AI applications. Covers multi-modal perception, action prediction, and sim-to-real transfer capabilities enabling generalist robot control through large language and vision models.",[],Google DeepMind,high,https://storage.googleapis.com/deepmind-media/gemini-robotics/Gemini-Robotics-1-5-Tech-Report.pdf,"['foundation models', 'embodied AI', 'Gemini', 'sim-to-real', 'robot learning', 'multimodal']","This is a landmark technical report showing how frontier AI models are being adapted for physical robotics. Gemini Robotics 1.5 requires massive compute for training (NVDA GPUs, TSM fabs) and drives the edge inference silicon roadmap. The convergence of LLMs and robotics is the core Robotnik thesis -- this report is primary evidence of that stack dependency."
"['NVDA', '6954 JP', 'ABBN SW', 'SIE GR', '6861 JP']",Hexagon,industry_report,Future of Robotics 2025,2025,['Robotics'],"['Metrology', 'Digital Twins', 'Smart Manufacturing']","Hexagon's perspective on the future of robotics integration with precision measurement, digital twin technology, and autonomous quality control in manufacturing environments. Covers how sensor fusion and AI-driven inspection are transforming industrial robotics workflows.",[],Hexagon,medium,https://www.calameo.com/read/00191579645c5e0b7bcc4,"['metrology', 'digital twins', 'quality control', 'sensor fusion', 'smart manufacturing']","Hexagon is a leader in industrial metrology and sensor systems that feed into robotic manufacturing cells. Their perspective bridges the gap between precision measurement hardware and autonomous robotics, a critical interface where Keyence and Fanuc overlap. The digital twin dependency chain runs through NVDA simulation platforms (Omniverse) to physical actuator systems."
"['TSM', 'NVDA', 'ASML', 'INTC', 'AVGO', 'AMD', 'AMAT', 'LRCX', 'KLAC']",World Trade Organization,industry_report,From Fabless to Fabs Everywhere? Semiconductor GVCs in Transition,2023,['Semiconductors'],"['Global Value Chains', 'Fab Capacity', 'Trade Policy']","WTO analysis of how semiconductor global value chains are restructuring in response to geopolitical pressures, examining the shift from concentrated Asian manufacturing toward distributed fab capacity. Evaluates the economic efficiency trade-offs of reshoring and friend-shoring initiatives.",[],World Trade Organization,high,https://www.wto.org/english/res_e/booksp_e/07_gvc23_ch4_dev_report_e.pdf,"['global value chains', 'reshoring', 'fab capacity', 'trade policy', 'friend-shoring', 'geopolitics']","WTO's GVC analysis is critical for understanding semiconductor supply chain risks that ripple through Robotnik's entire universe. TSM's geographic concentration and the CHIPS Act-driven reshoring directly impact fab equipment demand (ASML, AMAT, LRCX, KLAC). Every robotics and space company in the Robotnik Universe depends on this semiconductor supply chain remaining functional."
